CODE_CULTURE_DEROBEE;LIBELLE_CULTURE_DEROBEE
DBM;Brôme
DLT;Lotier corniculé
DRG;Ray-grass
DBR;Bourrache
DLZ;Luzerne cultivée
DRQ;Roquette
DCF;Chou fourrager
DMD;Moutarde
DSD;Serradelle
DCM;Cameline
DMH;Moha
DSF;Sorgho fourrager
DCR;Cresson alénois
DML;Millet jaune, perlé
DSG;Seigle
DCZ;Colza
DMN;Minette
DSH;Sous semis d’herbe ou de légumineuses *
DDC;Dactyle
DMT;Mélilot
DSJ;Soja
DFL;Fléole
DNG;Nyger
DSN;Sainfoin
DFN;Fenugrec
DNT;Navette
DSR;Sarrasin
DFT;Fétuque
DNV;Navet
DTN;Tournesol
DFV;Féverole
DPC;Pois chiche
DTR;Trèfle
DGS;Gesse cultivée
DPH;Phacélie
DVN;Avoine
DLN;Lin
DPS;Pois
DVS;Vesce
DLL;Lentille
DPT;Pâturin commun
DXF;X-Festulolium
DLP;Lupin (blanc, bleu, jaune)
DRD;Radis (fourrager, chinois)
ZZZ;Culture inconnue
